GEOID,crime,rank,NAME,rank_assault,rank_burg,rank_rob,rank_theft,rank_vehicle_theft
6075030500,1871,167,"Census Tract 305, San Francisco County, California",123,180,188.5,174,190
6075042601,1801,168,"Census Tract 426.01, San Francisco County, California",159,131,180.5,130.5,181.5
6075017101,1790,169,"Census Tract 171.01, San Francisco County, California",193,109,185.5,142,86.5
6075020401,1727,170,"Census Tract 204.01, San Francisco County, California",177,140,160,144,126.5
6075042602,1714,171,"Census Tract 426.02, San Francisco County, California",153,147.5,160,166,174
6075025800,1705,172,"Census Tract 258, San Francisco County, California",132,188,104.5,190,150
6075012901,1689,173,"Census Tract 129.01, San Francisco County, California",186,107,167.5,125.5,178
6075032901,1664,174,"Census Tract 329.01, San Francisco County, California",156,151.5,178.5,180,167.5
6075011800,1648,175,"Census Tract 118, San Francisco County, California",173,171.5,114,127,194
6075026303,1647,176,"Census Tract 263.03, San Francisco County, California",124.5,192,128.5,193,109
6075032802,1607,177,"Census Tract 328.02, San Francisco County, California",154,151.5,147.5,176,172.5
6075980501,1599,178,"Census Tract 9805.01, San Francisco County, California",138,193,102,172,181.5
6075047902,1592,179,"Census Tract 479.02, San Francisco County, California",169.5,184,190.5,158,179
6075030302,1582,180,"Census Tract 303.02, San Francisco County, California",179,157.5,188.5,151,148
6075026404,1527,181,"Census Tract 264.04, San Francisco County, California",101,191,112,194,183
6075031202,1523,182,"Census Tract 312.02, San Francisco County, California",141,187,90,186,161
6075011901,1488,183,"Census Tract 119.01, San Francisco County, California",156,168,162.5,167,170.5
6075047802,1472,184,"Census Tract 478.02, San Francisco County, California",158,182,165,173,184
6075032902,1459,185,"Census Tract 329.02, San Francisco County, California",171,166,171.5,170,189
6075032602,1379,186,"Census Tract 326.02, San Francisco County, California",180,173,182.5,184,166
6075012601,1280,187,"Census Tract 126.01, San Francisco County, California",191,126,145.5,154,191
6075047702,1235,188,"Census Tract 477.02, San Francisco County, California",185,174,174,191,151
6075021200,1181,189,"Census Tract 212, San Francisco County, California",192,142.5,185.5,178,126.5
6075030600,1141,190,"Census Tract 306, San Francisco County, California",188,178,180.5,168.5,192
6075042800,991,191,"Census Tract 428, San Francisco County, California",194,171.5,195.5,183,187.5
6075021300,917,192,"Census Tract 213, San Francisco County, California",190,153.5,190.5,189,169
6075980600,590,193,"Census Tract 9806, San Francisco County, California",184,194,192,196,193
6075060100,315,194,"Census Tract 601, San Francisco County, California",195,196,194,192,195
6075980200,207,196,"Census Tract 9802, San Francisco County, California",196,195,195.5,195,196
